"trial_id","pgroup","trialtype","node3","n","prop","ig","baseline","ns_kappa_full","ns_product_full","ns_average_full","ns_necessity_full","ns_sufficiency_full","ns_kappa_noAct","ns_product_noAct","ns_average_noAct","ns_necessity_noAct","ns_sufficiency_noAct","Actual_ns","A","B","E","Include","Observed","Known"
"2_c4","2","c4","A=0",2,0.0303030303030303,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,TRUE,1,1,0,FALSE,TRUE,TRUE
"2_c4","2","c4","A=1",8,0.121212121212121,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,1,1,0,TRUE,TRUE,FALSE
"2_c4","2","c4","Au=0",32,0.484848484848485,0.106,0.125,0.978260869565217,0.782608695652174,0.891304347826087,0.782608695652174,1,0.978260869565217,0.782608695652174,0.891304347826087,0.782608695652174,1,TRUE,1,1,0,TRUE,FALSE,FALSE
"2_c4","2","c4","Au=1",2,0.0303030303030303,0.212,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0.0782608695652174,0,0.391304347826087,0,0.782608695652174,FALSE,1,1,0,TRUE,FALSE,FALSE
"2_c4","2","c4","B=0",1,0.0151515151515152,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,TRUE,1,1,0,FALSE,TRUE,TRUE
"2_c4","2","c4","B=1",4,0.0606060606060606,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0,0,0,0,0,FALSE,1,1,0,TRUE,TRUE,FALSE
"2_c4","2","c4","Bu=0",11,0.166666666666667,-0.015,0.125,0.217391304347826,0.0217391304347826,0.510869565217391,0.0217391304347826,1,0.217391304347826,0.0217391304347826,0.510869565217391,0.0217391304347826,1,TRUE,1,1,0,TRUE,FALSE,FALSE
"2_c4","2","c4","Bu=1",6,0.0909090909090909,-0.019,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0.0173913043478261,0,0.0108695652173913,0,0.0217391304347826,FALSE,1,1,0,TRUE,FALSE,FALSE
"2_c5","2","c5","A=0",1,0.0119047619047619,0,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,FALSE,1,1,1,FALSE,TRUE,FALSE
"2_c5","2","c5","A=1",8,0.0952380952380952,0,0.125,1,1,1,1,1,1,1,1,1,1,TRUE,1,1,1,TRUE,TRUE,TRUE
"2_c5","2","c5","Au=0",2,0.0238095238095238,0.137,0.125,-Inf,-Inf,-Inf,-Inf,-Inf,0.9,0,0.5,0,1,FALSE,1,1,1,TRUE,FALSE,FALSE
"2_c5","2","c5","Au=1",29,0.345238095238095,0.332,0.125,1,1,1,1,1,1,1,1,1,1,TRUE,1,1,1,TRUE,FALSE,TRUE
